Mask Number,Area (px^2),Center X (px),Center Y (px),DAPI - Clean Intensity (Magnitude/px^2),DAPI - Clean Standard Deviation (Magnitude),DAPI - Clean Background Intensity (Magnitude/px^2),FITC - Clean Intensity (Magnitude/px^2),FITC - Clean Standard Deviation (Magnitude),FITC - Clean Background Intensity (Magnitude/px^2),Alexa 594 Clean (620-60) Intensity (Magnitude/px^2),Alexa 594 Clean (620-60) Standard Deviation (Magnitude),Alexa 594 Clean (620-60) Background Intensity (Magnitude/px^2)
1,618,1966,64,121.9644013,45.33983363,179.6262136,342.9983819,126.6948823,115.4789644,98.60841424,39.24141373,91.10355987
2,379,1998,72,152.2770449,56.45946971,176.4986807,359.2744063,107.5079111,120,132.2823219,53.71034384,95.90765172
3,93,1978,82,99.13978495,19.87547724,179,197.5053763,24.82969105,118.0107527,82.44086022,15.82819606,89.70967742
4,178,1798,83,110.4662921,29.49004407,204,223.4606742,44.60854373,115,100.7696629,24.56624345,89
5,226,1819,86,104.0176991,24.91353307,203.6725664,176.0442478,28.21690254,115,80.24336283,19.59746186,89
6,283,2029,87,177.9540636,54.26923958,176.0671378,164.3957597,33.02844652,120,135.95053,43.00170322,96
7,380,1768,105,216.1973684,94.83191904,204,606.0342105,223.7400758,115,210.1184211,102.7064068,89
8,202,1806,107.5,106.539604,24.95749453,204,216.5693069,41.16521316,115,87.66831683,18.6273721,89
9,810,1982,87,123.8691358,41.27729091,183.6641975,241.7617284,68.836786,119.7444444,108.5358025,33.75058415,90
10,645,1774,115,155.8496124,41.4806026,209.2604651,337.3333333,73.38862493,118.2651163,132.9705426,40.75461412,89
11,206,1819,119,115.776699,28.96959955,204.4951456,235.5145631,45.65359796,115,101.2912621,23.32762669,89
12,311,839,123,382.8424437,95.91658472,226,826.9614148,147.6514372,111,313.8424437,82.27776088,87
13,406,1820,131,108.3866995,22.11955663,206.091133,212.9926108,34.88198721,115,84.99014778,15.4125138,89
14,391,1747,141.5,141.1227621,39.33824744,215.5626598,419.9386189,117.2680529,127,132.3503836,34.10913846,89
15,192,1945,140,160.1145833,39.53866682,191,286.15625,42.80892115,115,126.5104167,32.75068275,90
16,536,1770.5,129,272.6679104,83.52302148,215.1529851,672.4458955,205.8905454,127,253.9664179,96.00772356,89
17,339,839,153,706.8318584,291.3038503,226,1903.20944,689.5244226,111,579.1858407,260.6254726,87
18,315,839,154,614.2063492,236.7976883,226,1743.95873,556.6165717,111,542.3333333,253.5747355,87
19,192,1750,156,244.84375,72.24258554,216,651.734375,132.6884209,128.8645833,236.6302083,63.67599368,89
20,628,1805,159,153.0175159,45.58583413,213.0015924,216.8757962,57.21846425,126.2261146,130.4538217,39.02482874,89
21,380,1857,169,176.7921053,61.38821869,201,505.6,177.8998206,114,160.3342105,66.52054566,92.30789474
22,1144,1753.5,177.5,247.1127622,58.66927975,216,641.2263986,140.9056458,138.8583916,217.1748252,52.82734911,89
23,250,1963,178,125.668,33.79678486,189.68,266.144,73.88199687,115,104.344,33.7629592,90
24,544,1761.5,183,340.3768382,112.7065956,216,588.7573529,200.465122,136.8658088,252.2536765,95.52079785,89.03676471
25,757,1731.5,189,236.1030383,97.05489885,216,611.0449141,210.1398957,139.3870542,203.1056803,81.50161119,89
26,345,1678,190,179.0637681,55.04223001,215.7043478,251.3391304,71.54327284,135.6405797,145.2086957,48.65758903,82.59710145
27,231,1698,197,122.974026,26.88428053,216,234.1774892,37.24686873,140,97.84848485,18.34093746,87.23376623
28,384,1775,198,238.5807292,71.5524146,216,409.90625,129.443281,140,184.9427083,77.74432119,92.01041667
29,477,1739,211.5,394.1656184,173.1364153,216.2893082,1163.454927,513.0958399,140,365.802935,186.0757248,88.60587002
30,357,1372,211,109.9663866,31.14083615,230.4985994,292.8207283,78.06707226,123.0448179,62.88795518,14.0258107,88
31,317,1588,212,156.4700315,45.33228114,218.9274448,262.3123028,75.6199291,125,121.6403785,38.65937762,84
32,341,1751,203,292.7360704,75.44757132,216,592.7595308,162.9177191,140,241.4046921,85.97246742,88.85337243
