Mask Number,Area (px^2),Center X (px),Center Y (px),DAPI - Clean Intensity (Magnitude/px^2),DAPI - Clean Standard Deviation (Magnitude),DAPI - Clean Background Intensity (Magnitude/px^2),FITC - Clean Intensity (Magnitude/px^2),FITC - Clean Standard Deviation (Magnitude),FITC - Clean Background Intensity (Magnitude/px^2),Alexa 594 Clean (620-60) Intensity (Magnitude/px^2),Alexa 594 Clean (620-60) Standard Deviation (Magnitude),Alexa 594 Clean (620-60) Background Intensity (Magnitude/px^2)
1,112,242.0,4.0,1958.205357142857,802.7641114983786,186.0,2528.9375,1041.923345222584,90.0,3893.0625,1125.8580013935155,112.0
2,98,694.5,2.5,407.1020408163265,88.45308498415868,201.01020408163265,550.9183673469388,129.85429371917968,95.0,818.2448979591836,148.72974599868988,110.0
3,322,1122.0,45.0,620.1552795031056,141.61384284757872,215.0,807.0310559006211,178.1049752536312,89.0,1183.142857142857,251.4649503863475,104.2639751552795
4,271,497.0,50.5,603.7564575645756,233.87559154229095,210.56457564575646,559.5977859778598,209.7107810742778,88.0,1019.7712177121771,271.252211566326,117.0
5,163,98.0,59.5,722.8834355828221,176.50483127854363,198.82208588957056,932.0858895705521,167.90092606208654,103.0,1176.0920245398772,206.82970897877877,137.0
6,193,1796.5,57.5,973.7098445595855,267.73651684942644,194.0,869.9740932642487,214.15700615127858,87.27461139896373,1467.259067357513,381.6601417289242,108.0
7,492,465.5,64.5,554.9146341463414,134.4551228869245,211.0,673.040650406504,175.98706897386512,94.0,1021.020325203252,242.94907312412124,117.0
8,333,101.5,64.5,722.2702702702703,163.1052738216048,199.0,1183.5945945945946,253.9558605886467,103.0,1615.1591591591591,339.23083872410473,137.0
9,204,344.0,67.0,2621.514705882353,544.5039725634257,202.0,3808.642156862745,838.6800762700105,93.0,5167.245098039216,805.0949206501305,124.0
10,300,98.0,68.0,726.3566666666667,189.43219890547329,199.62,1160.8233333333333,282.8898744371842,103.0,1588.34,365.7419330694133,137.0
11,285,1222.5,73.5,393.10877192982457,68.31033236113956,219.01052631578946,607.0561403508772,122.67280283531954,96.0,629.978947368421,92.07754451066458,114.0
12,254,382.5,73.5,1034.5944881889764,316.4655426002876,202.10629921259843,1212.7204724409448,331.6274348536351,94.0,1980.5944881889764,437.1137876671354,124.0
13,128,1238.5,80.5,279.4609375,50.76980663008191,219.078125,365.4375,56.35835146211749,96.0,421.6875,50.08288405823444,114.0
14,187,149.5,89.5,665.7219251336899,155.5125680380184,199.0,778.6951871657755,193.3927368740533,102.18716577540107,1176.9411764705883,257.8719398876197,136.99465240641712
15,186,83.5,92.5,510.7096774193548,106.75448778668786,204.86559139784947,927.6075268817204,203.04168590048215,103.0,972.4032258064516,183.45941090333147,137.0
16,259,92.5,82.0,553.6100386100386,90.33378272792777,205.8108108108108,878.03861003861,188.04681107280092,103.0,1125.2857142857142,188.72968710599648,137.0
17,455,671.5,92.5,476.389010989011,150.535784270505,219.0,502.7692307692308,157.5348137821342,85.0,803.4439560439561,257.6523642330649,119.22417582417583
18,138,1229.5,99.5,334.1231884057971,58.172717022830014,220.0,541.9492753623189,108.29416025555793,96.0,611.0,103.67411040314364,113.0
19,282,461.5,99.5,1001.918439716312,337.65730023054493,211.0,1190.0035460992908,465.06229252697005,94.0,1875.9397163120568,556.5838736907385,117.0
20,313,1579.5,106.5,757.1150159744409,219.56766858510923,205.0,1156.5335463258787,374.60615171548966,93.0,1384.85303514377,358.08568323410077,113.95527156549521
21,98,4.5,115.5,531.6020408163265,106.4236563690958,195.0,651.4285714285714,144.87890428636078,92.0,998.8367346938776,175.4147776091308,136.0
22,111,55.5,119.5,400.77477477477476,56.70909574064412,205.18018018018017,477.0,73.64336667036247,103.0,776.1171171171171,113.59951494284553,137.0
23,341,652.5,119.5,680.7947214076246,253.9167396567956,219.0,1008.4281524926686,370.2508985957876,85.71260997067449,1217.6275659824048,353.2161465435266,120.92375366568915
24,220,184.5,124.5,777.5636363636364,205.42798746124777,207.0,1136.7454545454545,313.6052818596887,101.0,1354.5590909090909,310.7062674298256,136.0
25,203,194.0,123.5,735.0837438423646,181.41361275506577,207.0,1119.7339901477833,292.43281055728943,101.0,1362.4039408866995,316.58001410532415,136.0
26,312,43.5,135.0,563.2051282051282,114.99138611378399,204.1602564102564,760.0705128205128,184.65821777374555,104.34615384615384,1134.5,193.71434533463037,137.0
27,256,87.5,128.0,815.171875,220.91839001997914,206.0,1346.5078125,413.48081485414883,103.0,1701.5546875,449.9502684257143,137.0
28,429,128.0,142.5,817.7529137529137,217.02165041688284,206.0,1446.3799533799533,410.005496508629,103.0,1747.1724941724942,456.5016128259462,137.0
29,173,168.5,147.5,757.4393063583815,176.3497880587138,207.0,1712.8150289017342,413.4593008915739,101.0,1529.6763005780347,310.6903404239442,136.29479768786126
30,226,41.5,135.0,754.3893805309734,164.53627407573592,203.21238938053096,597.0929203539823,140.0927795533703,108.97787610619469,1191.3230088495575,223.30642047150252,138.36283185840708
31,229,207.5,144.0,610.4497816593887,173.14389959527128,207.0,525.5371179039302,145.16020995718827,101.0,978.7336244541485,211.00356227860667,135.26637554585153
32,157,66.5,154.5,373.9936305732484,67.7142844468189,206.0,547.6624203821656,138.93793828218483,106.67515923566879,726.3375796178344,132.83919110753502,137.0
33,448,129.5,142.5,764.8928571428571,228.13189823295443,206.50223214285714,971.2991071428571,225.0224145914186,101.83928571428571,1365.9888392857142,310.0501545059511,137.0
34,191,172.5,147.5,741.8010471204188,162.94862670874576,207.0,1460.2251308900525,356.0627038167924,101.0,1576.7225130890051,347.5667924692106,136.00523560209425
35,291,576.5,158.0,1436.0034364261169,468.2181299667171,216.94158075601374,2345.5635738831616,772.9957745655202,92.0,2715.9450171821304,760.110584332794,116.0
36,178,13.5,161.5,282.9550561797753,47.816483013046245,208.0,529.6910112359551,72.47840144351818,109.0,571.8651685393259,75.32306179830981,139.0
37,233,48.5,165.0,532.0085836909872,118.3618790352759,206.93991416309012,841.8326180257511,217.2241261933029,109.0,1103.2961373390558,226.64369506094278,139.0
38,224,59.5,163.5,333.6517857142857,47.3279200338885,206.0,492.79017857142856,84.48374318617896,109.0,657.1071428571429,93.50982367451405,138.125
39,174,105.0,168.5,281.51149425287355,54.228241528351155,206.0,336.0919540229885,63.61065315655589,102.82758620689656,494.47701149425285,74.37785922209854,137.0
40,295,735.5,181.0,493.11186440677966,114.1538124022494,228.0,521.6372881355932,125.79732362843241,98.0,769.7694915254237,177.75472596665898,118.0
41,341,1445.0,181.0,1503.6275659824048,375.5644994376889,224.71847507331378,2131.1114369501465,394.65322740125055,90.1466275659824,2963.131964809384,640.4544688357761,120.0
42,148,947.5,188.0,943.75,172.45671348837334,237.0,939.8445945945946,192.15019326897357,93.02702702702703,1408.054054054054,255.65415051848922,119.0
43,671,712.5,205.5,468.2876304023845,132.8925134473226,228.0,587.9627421758569,157.62362155612752,98.0,775.9403874813711,202.41455767177817,118.36214605067065
44,367,733.5,181.0,773.2397820163487,189.01316127290875,228.0,1037.1389645776567,266.73236167970134,98.0,1358.2506811989101,356.6820572901084,118.0
45,334,339.5,191.5,317.311377245509,53.263231427707446,223.0,463.1137724550898,57.47514612736953,104.0,654.5359281437126,87.39443342444882,123.0
46,197,947.5,189.5,1110.1319796954315,256.2233019295338,237.0,1072.3197969543148,289.46871506959144,92.0,1516.1015228426395,346.055483707153,119.0
47,673,917.5,193.5,1225.4962852897474,434.62394500589795,237.0,1280.3580980683507,492.9289627814118,96.0,1963.670133729569,655.6003595960816,119.0
48,332,55.5,202.5,1031.5,329.1639092520299,208.8132530120482,1337.394578313253,468.0911785010009,115.0,2046.487951807229,586.423057933051,148.98192771084337
49,253,311.5,205.5,372.32411067193675,77.94782094057881,223.0,571.3517786561265,102.85302527554433,104.0,818.5533596837945,162.63912883665805,123.0
50,511,724.5,200.5,1090.0704500978475,361.25503311181785,229.2954990215264,1435.3874755381605,514.5812027991336,98.0,2021.9060665362035,694.1946462235773,118.0
51,92,717.5,212.5,393.0217391304348,57.18006612253397,229.7608695652174,393.3804347826087,52.596712050186234,98.0,570.7608695652174,67.29635451570667,118.0
52,200,366.5,212.5,693.065,196.86554035660873,223.0,536.07,159.31784576719423,104.0,974.575,221.63600104630783,123.0
53,243,1466.5,218.0,2011.8930041152264,440.19629927227254,225.0,2818.6748971193415,518.5279120011438,90.0,3966.534979423868,804.7078276125883,120.0
54,340,32.5,230.5,779.1941176470589,232.29483089571985,243.87941176470588,977.5529411764705,311.8418783149082,129.37058823529412,1436.1558823529413,409.06251816880706,165.0264705882353
55,268,327.5,234.0,1868.0485074626865,565.3576852267556,223.0,2058.3171641791046,628.0215651520639,104.0,3067.082089552239,806.2353681720356,123.0
56,150,1291.5,255.0,2146.4266666666667,252.51596658048396,250.0,2425.733333333333,325.5242888630908,96.0,3515.1066666666666,359.8965389486314,132.0
57,359,19.0,257.0,720.7465181058495,170.30357329143547,251.0,784.6155988857938,134.86292391764013,131.0,1258.7353760445683,223.77422693173233,167.0
58,182,82.0,256.5,342.6703296703297,79.99199613898608,232.95604395604394,494.04395604395603,105.92084108676842,117.85714285714286,713.6043956043956,134.16732186644794,155.23076923076923
59,503,198.5,255.0,350.60636182902584,84.68709760807239,221.62226640159045,580.8071570576541,124.76947902785216,99.0,685.2246520874752,141.8160781735067,121.05367793240556
60,603,29.5,272.5,542.8971807628524,162.21559638224258,251.0,1076.4908789386402,256.12386272310295,131.0,1047.7230514096186,251.5730468927448,166.9900497512438
61,178,99.5,271.0,355.5449438202247,53.230133582241436,253.98876404494382,525.1404494382023,48.2345662657778,125.84269662921348,748.6797752808989,75.27248982359365,161.63483146067415
62,271,66.5,279.5,591.4428044280443,156.64102465650362,237.74538745387454,895.9372693726938,241.88743887877018,118.74169741697418,1121.6236162361624,249.97334382968307,156.68634686346863
63,496,603.0,283.5,1637.6814516129032,497.61721459503735,233.0,2088.5866935483873,595.7586696549577,100.92338709677419,2995.3709677419356,750.7525971349813,122.13306451612904
